Service,CostCentre,Spend Type,Amount
Transport Services,Pellon Depot,Support Service Recharges Expenditure,95200
Transport Services,Pellon Depot,Depreciation Charges and Revenue contribution to Capital,83150
Transport Services,Pellon Depot,Support Service Recharges Income,-332650
Transport Services,Pellon Depot,"Grants, Contributions, Other Income ",-830
Transport Services,Washing,Supplies and Services,3560
Transport Services,Washing,Support Service Recharges Income,-3460
Transport Services,Washing,"Grants, Contributions, Other Income ",-100
Transport Services,Fuel,Transport Related,607272
Transport Services,Fuel,Supplies and Services,4000
Transport Services,Fuel,Support Service Recharges Income,-123970
Transport Services,Fuel,"Grants, Contributions, Other Income ",-487300
Transport Services,Access Bus,"Grants, Contributions, Other Income ",-70530
Transport Services,Client Agent - D1 - Training,Employee Related,500
Transport Services,Client Agent - D1 - Training,Supplies and Services,5600
Transport Services,Client Agent - D1 - Training,Support Service Recharges Expenditure,-15750
Transport Services,Client Agent - D1 - Training,Support Service Recharges Income,25710
Transport Services,Client Agent - D1 - Training,"Grants, Contributions, Other Income ",-16060
Transport Services,Vehicle Hire Account,Transport Related,771610
Transport Services,Vehicle Hire Account,Supplies and Services,-532560
Transport Services,Vehicle Hire Account,Support Service Recharges Expenditure,142070
Transport Services,Vehicle Hire Account,"Grants, Contributions, Other Income ",-15140
Transport Services,Home to School Transport,Employee Costs,36970
Transport Services,Home to School Transport,Employee Costs,249608
Transport Services,Home to School Transport,Transport Related,1309242
Transport Services,Home to School Transport,Supplies and Services,13228
Transport Services,Home to School Transport,Support Service Recharges Expenditure,426060
Transport Services,Home to School Transport,"Grants, Contributions, Other Income ",-2000
Transport Services,Home to School Transport,"Grants, Contributions, Other Income ",-126218
Dedicated Schools Grant,Dedicated Schools grant,"Grants, Contributions, Other Income ",-105407590
Dedicated Schools Grant,Allocation of schools DSG grant,"Grants, Contributions, Other Income ",64843050
Dedicated Schools Grant,Allocation of Early years DSG grant,"Grants, Contributions, Other Income ",14354170
Dedicated Schools Grant,Allocation of High Needs DSG grant,"Grants, Contributions, Other Income ",24047480
Dedicated Schools Grant,Allocation of Central Block DSG grant,"Grants, Contributions, Other Income ",2162890
Law & Administration Service,Law & Admin General,Supplies and Services,-73890
Law & Administration Service,Law & Admin General,Support Service Recharges Expenditure,67710
Law & Administration Service,Law & Admin General,Support Service Recharges Income,56200
Law & Administration Service,Law & Admin General,"Grants, Contributions, Other Income ",-50000
Law & Administration Service,Document Management - Springwood,Employee Costs,200
Law & Administration Service,Document Management - Springwood,Employee Costs,33400
Law & Administration Service,Document Management - Springwood,Premise Related,43965
Law & Administration Service,Document Management - Springwood,Supplies and Services,1170
Law & Administration Service,Document Management - Springwood,Support Service Recharges Expenditure,45820
Law & Administration Service,Document Management - Springwood,Support Service Recharges Income,-124550
Law & Administration Service,Document Management - Heath,Premise Related,27800
Law & Administration Service,Document Management - Heath,Support Service Recharges Income,-27800
Law & Administration Service,Freedom of Information Act 2000,Employee Costs,17240
Law & Administration Service,Freedom of Information Act 2000,Employee Costs,187150
Law & Administration Service,Freedom of Information Act 2000,Transport Related,340
Law & Administration Service,Freedom of Information Act 2000,Supplies and Services,2590
Law & Administration Service,Freedom of Information Act 2000,Support Service Recharges Income,-207320
Law & Administration Service,Scrutiny Support,Employee Costs,19450
Law & Administration Service,Scrutiny Support,Employee Costs,134340
Law & Administration Service,Scrutiny Support,Premise Related,100
Law & Administration Service,Scrutiny Support,Transport Related,150
Law & Administration Service,Scrutiny Support,Supplies and Services,6750
Law & Administration Service,Scrutiny Support,Support Service Recharges Income,-160790
Law & Administration Service,Law & Admin Management Group,Employee Costs,9700
Law & Administration Service,Law & Admin Management Group,Employee Costs,87400
Law & Administration Service,Law & Admin Management Group,Supplies and Services,3210
Law & Administration Service,Law & Admin Management Group,Support Service Recharges Income,-100310
Law & Administration Service,Committee Administration,Supplies and Services,22540
Law & Administration Service,Committee Administration,Support Service Recharges Income,-22540
Law & Administration Service,Legal Section,Employee Costs,201920
Law & Administration Service,Legal Section,Employee Costs,1612350
Law & Administration Service,Legal Section,Employee Related,7550
Law & Administration Service,Legal Section,Transport Related,2340
Law & Administration Service,Legal Section,Supplies and Services,43370
Law & Administration Service,Legal Section,Support Service Recharges Expenditure,204580
Law & Administration Service,Legal Section,Support Service Recharges Income,-1934460
Law & Administration Service,Legal Section,"Grants, Contributions, Other Income ",-137650
Law & Administration Service,Mayoralty,Employee Costs,8210
Law & Administration Service,Mayoralty,Employee Costs,71500
Law & Administration Service,Mayoralty,Supplies and Services,17060
Law & Administration Service,Mayoralty,Support Service Recharges Expenditure,11220
Law & Administration Service,Mayoralty,Support Service Recharges Income,-107990
Law & Administration Service,Electoral Registration,Employee Costs,20450
Law & Administration Service,Electoral Registration,Employee Costs,270250
Law & Administration Service,Electoral Registration,Supplies and Services,93850
Law & Administration Service,Electoral Registration,Support Service Recharges Expenditure,70
Law & Administration Service,Electoral Registration,"Grants, Contributions, Other Income ",-48140
Law & Administration Service,Municipal Elections,Supplies and Services,365780
Law & Administration Service,Municipal Elections,Support Service Recharges Expenditure,3500
Law & Administration Service,Municipal Elections,"Grants, Contributions, Other Income ",-353440
Law & Administration Service,Calderdale Forward LSP (was prev 2858),Employee Costs,5300
Law & Administration Service,Calderdale Forward LSP (was prev 2858),Employee Costs,38190
Law & Administration Service,Calderdale Forward LSP (was prev 2858),Supplies and Services,50
Law & Administration Service,Calderdale Forward LSP (was prev 2858),Support Service Recharges Income,-43540
Pensions Reserve Appropriation Account,Holding Code,Employee Related,88880
Pensions Reserve Appropriation Account,Superannuation True Rate Adj,Employee Costs,-15542780
Pensions Reserve Appropriation Account,Unfunded pensions,Employee Related,1219910
Pensions Reserve Appropriation Account,Calderdale College-Excepted Items,Employee Related,844985
Human Resources,Corporate Leadership,Employee Costs,16640
Human Resources,Corporate Leadership,Employee Costs,118230
Human Resources,Corporate Leadership,Supplies and Services,-25420
Human Resources,Corporate Leadership,Large Contract Areas,-100000
Human Resources,Corporate Leadership,Support Service Recharges Expenditure,593340
Human Resources,Corporate Leadership,Support Service Recharges Income,-602770
Human Resources,Health & Safety,Employee Costs,24630
Human Resources,Health & Safety,Employee Costs,200880
Human Resources,Health & Safety,Employee Related,1500
Human Resources,Health & Safety,Transport Related,1100
Human Resources,Health & Safety,Supplies and Services,3630
Human Resources,Health & Safety,Support Service Recharges Expenditure,910
Human Resources,Health & Safety,Support Service Recharges Income,-194760
Human Resources,Health & Safety,"Grants, Contributions, Other Income ",-37890
Human Resources,HR Advisors - Directorates,Employee Costs,42140
Human Resources,HR Advisors - Directorates,Employee Costs,294160
Human Resources,HR Advisors - Directorates,Employee Related,150
Human Resources,HR Advisors - Directorates,Transport Related,50
Human Resources,HR Advisors - Directorates,Transport Related,60
Human Resources,HR Advisors - Directorates,Supplies and Services,5220
Human Resources,HR Advisors - Directorates,Support Service Recharges Income,-341780
Human Resources,HR Manager - Advisory,Employee Costs,24600
Human Resources,HR Manager - Advisory,Employee Costs,171497
Human Resources,HR Manager - Advisory,Support Service Recharges Income,-196100
Human Resources,Trade Union,Employee Costs,4990
